time,Temperature.2M,relHumidity.2M,totPrecip.s,Pressure
2024-09-06,21.76912308,53.92756653,0.281515032,100.100296
2024-09-07,21.73978043,53.63354111,0.27168259,100.0875931
2024-09-08,21.41718102,54.04993439,0.280517578,100.09729
2024-09-09,20.82895851,55.11952972,0.307974696,100.1286621
2024-09-10,20.0500145,56.68972015,0.35059455,100.1772537
2024-09-11,19.1855278,58.54905701,0.40230003,100.2360535
2024-09-12,18.34634018,60.47415924,0.455954701,100.2971344
2024-09-13,17.62587929,62.27041245,0.505033076,100.3533554
2024-09-14,17.08577919,63.795578,0.544809759,100.3994904
2024-09-15,16.75237274,64.96490479,0.572799802,100.4326859
2024-09-16,16.62203026,65.74288177,0.588537216,100.4522705
2024-09-17,16.67119789,66.12889099,0.592969835,100.459137
2024-09-18,16.86716461,66.14258575,0.587764621,100.4550705
2024-09-19,17.17675018,65.81278992,0.574728489,100.4420471
2024-09-20,17.57164955,65.17089081,0.555437922,100.4217834
2024-09-21,18.03006172,64.24950409,0.531100035,100.3954849
2024-09-22,18.53506088,63.08524704,0.502622724,100.3639221
2024-09-23,19.07072449,61.72527313,0.470833093,100.3276215
2024-09-24,19.61730766,60.23600388,0.436760634,100.2874146
2024-09-25,20.14657974,58.7123909,0.401918739,100.2449799
2024-09-26,20.61847496,57.28174591,0.36856392,100.2034149
2024-09-27,20.98189354,56.09392548,0.339826435,100.1671143
2024-09-28,21.1827774,55.29516602,0.319419116,100.141037
2024-09-29,21.17818069,54.99517059,0.310833782,100.1294174
2024-09-30,20.95048332,55.24015808,0.316315085,100.1346436
2024-10-01,20.51597404,56.00054932,0.336040378,100.1565552
2024-10-02,19.92434883,57.1765213,0.367849261,100.1923599
2024-10-03,19.2490921,58.61960983,0.407640278,100.2373123
2024-10-04,18.57199287,60.16293716,0.450300694,100.2856522
2024-10-05,17.9671154,61.65058899,0.490816057,100.3318558
2024-10-06,17.48900414,62.95798492,0.525182426,100.3715134
2024-10-07,17.16769409,64.00054169,0.550884247,100.4017487
2024-10-08,17.01004982,64.73213196,0.566914201,100.4213562
2024-10-09,17.00544167,65.13728333,0.573466659,100.4304276
2024-10-10,17.13290977,65.22164917,0.571488976,100.4298935
2024-10-11,17.36775589,65.00354767,0.562255561,100.4210968
2024-10-12,17.68611717,64.50836945,0.547053695,100.4053726
2024-10-13,18.0670433,63.76652145,0.527029634,100.3838501
2024-10-14,18.49220085,62.81455231,0.503184855,100.3574753
2024-10-15,18.94373512,61.69892883,0.47648856,100.3270645
2024-10-16,19.4013443,60.48104095,0.448052347,100.2937012
2024-10-17,19.83938217,59.24163055,0.419315249,100.2589874
2024-10-18,20.22525787,58.08119583,0.392188132,100.2254105
2024-10-19,20.52061462,57.11263275,0.369080752,100.1962051
2024-10-20,20.68662643,56.44481277,0.352683842,100.1749649
2024-10-21,20.69282341,56.16117477,0.345467955,100.1647873
2024-10-22,20.52639198,56.30077362,0.349033237,100.1675415
2024-10-23,20.19823265,56.84814453,0.363556832,100.1832657
2024-10-24,19.74324608,57.73557663,0.387580276,100.2101593
2024-10-25,19.21444893,58.85634613,0.418226302,100.2448425
2024-10-26,18.67282486,60.08507919,0.451782286,100.2830887
2024-10-27,18.17612457,61.29870224,0.484445184,100.3206558
2024-10-28,17.769907,62.39270782,0.512983441,100.3539047
2024-10-29,17.4827404,63.29000473,0.535150528,100.3802872
2024-10-30,18.8531723,60.32315445,0.459831178,100.2904205
2024-10-31,18.72899437,60.62068176,0.467568278,100.2993011
2024-11-01,18.61573982,60.91396713,0.475037873,100.3080368
2024-11-02,18.52253342,61.17939377,0.481618106,100.3158798
2024-11-03,18.45617676,61.39702225,0.486805677,100.3222275
2024-11-04,18.42078972,61.55173492,0.490248799,100.3266602
2024-11-05,18.41775513,61.63394547,0.491759628,100.3289337
2024-11-06,18.44594002,61.63973999,0.491308808,100.3289413
2024-11-07,18.50207901,61.57065582,0.489006132,100.3267975
2024-11-08,18.58118248,61.43334961,0.48508051,100.3227081
2024-11-09,18.67696381,61.23897934,0.479855835,100.3170166
2024-11-10,18.78221512,61.00259781,0.473730385,100.3101425
2024-11-11,18.88916588,60.74233246,0.467157215,100.3025818
2024-11-12,18.98986626,60.47833252,0.460623145,100.2949219
2024-11-13,19.07664299,60.2314682,0.454622328,100.2877121
2024-11-14,19.14261055,60.02170944,0.449627101,100.2815628
2024-11-15,19.18229103,59.86639404,0.446047664,100.2769547
2024-11-16,19.19219589,59.77845383,0.444193035,100.2743149
2024-11-17,19.17133713,59.76499939,0.44423157,100.2738647
2024-11-18,19.12146187,59.82647705,0.446165174,100.2756348
2024-11-19,19.0470314,59.95650101,0.449819416,100.2794876
2024-11-20,18.95479965,60.14263153,0.454856873,100.2850266
2024-11-21,18.85308838,60.36773682,0.460814267,100.2917404
2024-11-22,18.75089073,60.61184692,0.467153102,100.2990112
2024-11-23,18.65691566,60.85429764,0.473320544,100.3062134
2024-11-24,18.57872963,61.07550812,0.478804648,100.3127441
2024-11-25,18.52213287,61.25863266,0.483182102,100.3181
2024-11-26,18.49080467,61.39068985,0.486147076,100.321907
2024-11-27,18.48618889,61.46315384,0.487525821,100.3239288
2024-11-28,18.50762939,61.47222519,0.487275064,100.3240891
2024-11-29,18.55261993,61.41880798,0.485471517,100.3224335
2024-11-30,18.61712456,61.30814362,0.482296109,100.3191376
2024-12-01,18.69592857,61.14943314,0.478015721,100.314476
2024-12-02,18.78297806,60.95518875,0.472963214,100.3088074
2024-12-03,18.8717289,60.74053574,0.467520863,100.3025589
2024-12-04,18.95549583,60.52223206,0.462097645,100.2962112
2024-12-05,19.02786064,60.31756973,0.457107961,100.2902374
2024-12-06,19.08312607,60.14299393,0.452942729,100.2851105
2024-12-07,19.11679649,60.01276016,0.449939758,100.2812576
2024-12-08,19.12603378,59.93748856,0.448350221,100.2790146
2024-12-09,19.11002731,59.92311859,0.448311239,100.2785645
2024-12-10,19.07017708,59.97020721,0.449825138,100.2799225
2024-12-11,19.01005173,60.07386398,0.452753752,100.2829895
2024-12-12,18.93504143,60.22424698,0.456829339,100.2874603
2024-12-13,18.85183144,60.40767288,0.461681932,100.2929153
2024-12-14,18.76769257,60.6080246,0.46687901,100.2988892
2024-12-15,18.68973732,60.80836868,0.471970946,100.3048325
2024-12-16,18.6242466,60.99253464,0.476537675,100.310257
2024-12-17,18.57613182,61.14637756,0.480223954,100.3147583
2024-12-18,18.54862785,61.25876999,0.482766032,100.3180084
2024-12-19,18.54315376,61.32222366,0.484006852,100.3197937
2024-12-20,18.55938911,61.3331871,0.483896375,100.3200455
2024-12-21,18.59539986,61.29207611,0.482487708,100.3187714
2024-12-22,18.64793777,61.20302963,0.47992295,100.316124
2024-12-23,18.71269035,61.0735817,0.476421207,100.3123093
2024-12-24,18.78460884,60.91409302,0.472258806,100.3076553
2024-12-25,18.85819435,60.73714447,0.467757255,100.3024902
2024-12-26,18.92784691,60.55664825,0.463258564,100.297226
2024-12-27,18.98820305,60.38692474,0.459109277,100.2922592
2024-12-28,19.03453445,60.24156952,0.455634415,100.288002
2024-12-29,19.06313324,60.13229752,0.453112066,100.2847824
2024-12-30,19.07167244,60.06790543,0.45174858,100.2828751
2024-12-31,19.05946922,60.0533638,0.451656669,100.2824249
2025-01-01,19.02764702,60.08930969,0.452839136,100.2834702
